"s","is","trig"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#Item","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/wn/wn30/instances/synset-bag-noun-1"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#Item","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Containers"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/data/framestercore/Ingestion"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/wn/wn30/instances/supersense-noun_group"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Ingestion"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/wn/wn30/instances/supersense-noun_group"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#Bag","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/data/framestercore/Ingestion"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#Bag","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/wn/wn30/instances/supersense-noun_group"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#Bag","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Ingestion"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#Bag","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/wn/wn30/instances/supersense-noun_group"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#itemOf","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/vn/vn31/data/Contain_54030000"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#itemOf","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Containing"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#itemOf","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Placing"
"http://www.ontologydesignpatterns.org/cp/owl/bag.owl#size","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/wn/wn30/instances/supersense-noun_group"
